"city";"district";"address";"address_number";"latitude";"longitude";"closure_type";"shelter_type";"building_type";"owner";"ownership_type";"phone";"ramp"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"36-В";"50.4250841";"30.5330098";"Подвійного призначення";"Інше";"житловий будинок";"ОСББ ""Печерські пагорби""";"Приватна";"068 116 18 33";"Відсутній"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"36-В";"50.4251611";"30.5325752";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Житлосервіс""";"Приватна";"050 411 83 02";"В наявності"
"м.Київ";"Печерський";" вул. Коновальця Євгена";"44-В";"50.4239854";"30.5397747";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Світ-побуту""";"Приватна";"067 629 44 10";"В наявності"
"м.Київ";"Печерський";" вул. Кропивницького";"16";"50.4404944";"30.5250322";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 35";"Відсутній"
"м.Київ";"Печерський";" вул. Кропивницького";"8";"50.4411299";"30.5245463";"Найпростіші укриття";"Підвал";"житловий будинок";"ОСББ ""Кропивницького";"Приватна";"254 62 96";"Відсутній"
"м.Київ";"Печерський";" вул. Круглоуніверситетська";"3/5";"50.4432929";"30.5231693";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТОВ ""Житлосервіс""";"Приватна";"050 411 83 02";"В наявності"
"м.Київ";"Печерський";" вул. Круглоуніверситетська";"4-Б";"50.4432048";"30.5241524";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ТПК ""Каскад-Імпекс""";"Приватна";"095 100 20 00";"В наявності"
"м.Київ";"Печерський";" вул. Круглоунiверситетська";"11/19";"50.4432798";"30.5264698";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Круглоунiверситетська";"17";"50.4429648";"30.5272827";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 35";"Відсутній"
"м.Київ";"Печерський";" вул. Лабораторна";"8";"50.426573";"30.5208766";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"КП ""Житло-сервіс""";"Приватна";"097 317 79 87";"В наявності"
"м.Київ";"Печерський";" пров. Лабораторний";"24";"50.4289258";"30.529847";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Лаврська";"4";"50.4384968";"30.5509988";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ЕРЖФ ""Житлосервіс""";"Інша";"281 44 04";"Відсутній"
"м.Київ";"Печерський";" вул. Лаврська";"4-Б";"50.4380412";"30.5500622";"Найпростіші укриття";"Підвал";"житловий будинок";"ЖБК ""Плановик""";"Приватна";"067 466 02 63";"Відсутній"
"м.Київ";"Печерський";" вул. Лаврська";"4-В";"50.4376412";"30.5501917";"Найпростіші укриття";"Підвал";"житловий будинок";"ЖБК ""Плановик""";"Приватна";"067 466 02 63";"Відсутній"
"м.Київ";"Печерський";" вул. Левандовська";"8/15-А";"50.4400351";"30.5459624";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Левандовська";"5-Б";"50.4418102";"30.5458105";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Лейпцизька";"12";"50.4315939";"30.5483278";"Найпростіші укриття";"Підвал";"житловий будинок";"ЖБК ""Здоров""я""";"Приватна";"063 949 95 97";"Відсутній"
"м.Київ";"Печерський";" вул. Лейпцизька";"16";"50.4304621";"30.5485064";"Подвійного призначення";"Підземний паркінг з пандусом";"гуртожиток";"Міністерсво освіти і найки України";"Інша";"528 17 02";"В наявності"
"м.Київ";"Печерський";" вул. Лейпцизька";"3";"50.4340395";"30.5481883";"Найпростіші укриття";"Підвал";"житловий будинок";"ДП ""Укржитлосервіс""";"Інша";"223 86 79";"Відсутній"
"м.Київ";"Печерський";" вул. Лейпцизька";"6";"50.43373";"30.54761";"Найпростіші укриття";"Підвал";"гуртожиток";"Київське вище деревообробне училище";"Інша";"235 60 58";"Відсутній"
"м.Київ";"Печерський";" вул. Лейпцігська";"2/37";"50.4341987";"30.5473145";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Лєскова Миколи";"1-А";"50.4311507";"30.5408968";"Найпростіші укриття";"Підвал";"житловий будинок";"ОСББ ""Лескова1-а""";"Приватна";"254 54 64";"Відсутній"
"м.Київ";"Печерський";" вул. Липська";"12/5";"50.4441768";"30.5346398";"Подвійного призначення";"Підвал";"житловий будинок";"Шаблатович";"Приватна";"097 311 60 49";"Відсутній"
"м.Київ";"Печерський";" вул. Липська";"19/7";"50.4427788";"30.5337739";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Літня";"25";"50.4264818";"30.525331";"Найпростіші укриття";"Підвал";"гуртожиток";"Київський коледж зв""язку";"Інша";"528 17 07";"Відсутній"
"м.Київ";"Печерський";" вул. Лютеранська";"10-А";"50.44504";"30.52341";"Подвійного призначення";"Інше";"житловий будинок";"ОСББ ""Лютеранська";"Приватна";"098 268 08 48";"Відсутній"
"м.Київ";"Печерський";" вул. Лютеранська";"21/12";"50.4442578";"30.5272569";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 35";"Відсутній"
"м.Київ";"Печерський";" вул. Лютеранська";"28/19";"50.4431536";"30.5279587";"Найпростіші укриття";"Підвал";"житловий будинок";"ПП ""Локом""";"Приватна";"098 935 59 45";"Відсутній"
"м.Київ";"Печерський";" вул. Лютеранська";"3";"50.4464767";"30.5229688";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 35";"Відсутній"
"м.Київ";"Печерський";" вул. Лютеранська";"4";"50.4459178";"30.5230317";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 4836";"Відсутній"
"м.Київ";"Печерський";" вул. Лютеранська";"6-А";"50.4454826";"30.5232364";"Найпростіші укриття";"Підвал";"житловий будинок";"Серикова Н.С.";"Приватна";"050 180 22 22";"Відсутній"
