city;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Шевченківський; вул. Січових Стрільців;14;50.4565471;30.5026305;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-751-31-29;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;26-А;50.4565951;30.4983732;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-751-31-29;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;35;50.45621;30.4978215;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Полісмедія»;Приватна;486-42-99;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;40;50.456511;30.4955078;Подвійного призначення;Підвал;Житловий будинок;ФО Ілашрам;Приватна;486-42-99;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;5;50.4550597;30.5030215;Найпростіші укриття;Підвал;Школа;Заклад загальної середньої освіти № 155;Комунальна;272-11-32;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;5-Б;50.4552568;30.5043951;Подвійного призначення;Підвал;Житловий будинок;ФО Казанцева;Приватна;097-762-62-88;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;5-В;50.4549163;30.5042168;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-751-31-29;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;52;50.4564288;30.4916863;Подвійного призначення;Підвал;Житловий будинок;ФО Дволіт;Приватна;050-507-02-04;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;7;50.4556802;30.5044151;Подвійного призначення;Підвал;Житловий будинок;ФО Голуб І.І.;Приватна;067-693-93-52;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;70;50.4573129;30.4886659;Подвійного призначення;Підвал;Житловий будинок;Власник;Приватна;486-42-99;Відсутній
м.Київ;Шевченківський; вул. Січових Стрільців;79;50.4571124;30.4878673;Подвійного призначення;Підвал;Житловий будинок;Савенко К.А.;Приватна;068-598-44-10;Відсутній
м.Київ;Шевченківський; вул. Софіївська;25-Б;50.4521968;30.5168354;Подвійного призначення;Підвал;Житловий будинок;Бондаренко Н.В.;Приватна;097-281-19-10;Відсутній
м.Київ;Шевченківський; вул. Софіївська;4;50.45164;30.5211285;Подвійного призначення;Підвал;Житловий будинок;МПП «Гетьман»;Приватна;097-798-28-70;Відсутній
м.Київ;Шевченківський; вул. Старокиївська;26;50.4544578;30.4745139;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-240-97-60;Відсутній
м.Київ;Шевченківський; вул. Старокиївська;27;50.4546561;30.4736425;Подвійного призначення;Підвал;Житловий будинок;Дослідницький центр МВС;Інша;067-240-97-60;Відсутній
м.Київ;Шевченківський; вул. Стрілецька;7/6;50.4529861;30.5119739;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;278-70-43;Відсутній
м.Київ;Шевченківський; вул. Студентська;12/14;50.4587122;30.4891788;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-751-31-29;Відсутній
м.Київ;Шевченківський; вул. Табірна;34;50.4609141;30.4273661;Найпростіші укриття;Підвал;Дитячий садочок;Дошкільний навчальний заклад № 79;Комунальна;456-90-35;Відсутній
м.Київ;Шевченківський; вул. Табірна;40;50.460361;30.4242929;Подвійного призначення;Підвал;Житловий будинок;ФО Моісєєв Микола Юрійович;Приватна;097-431-98-98;Відсутній
м.Київ;Шевченківський; вул. Табірна;42;50.4598473;30.4236422;Подвійного призначення;Підвал;Житловий будинок;ФОП «Боголюбова»;Приватна;456-94-87;Відсутній
м.Київ;Шевченківський; вул. Татарська;1-В;50.4638868;30.4860997;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;098-534-95-51;Відсутній
м.Київ;Шевченківський; вул. Татарська;18-Б;50.4652456;30.4863831;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;098-534-95-51;Відсутній
м.Київ;Шевченківський; вул. Татарська;2-В;50.4633602;30.4884493;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;098-534-95-51;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;1;50.4649034;30.4470322;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;11;50.4694173;30.4462271;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-778-55-54;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;13/14;50.4706319;30.4468559;Подвійного призначення;Підземний перехід з пандусом;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;В наявності
м.Київ;Шевченківський; вул. Теліги Олени;21-А;50.4747795;30.4469376;Подвійного призначення;Підвал;Житловий будинок;ФО«Матузов»;Приватна;050-462-38-91;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;23-А;50.4753451;30.4469822;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-118-50-79;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;25-А;50.4757273;30.4474712;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Крокус ЛТД»;Приватна;067-465-63-01;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;27;50.476461;30.4487086;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-118-50-79;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;31/1;50.4774549;30.4505185;Подвійного призначення;Підземний перехід з пандусом;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;В наявності
м.Київ;Шевченківський; вул. Теліги Олени;35;50.4789885;30.4513261;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-118-50-79;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;35-Д;50.4788144;30.4504768;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-118-50-79;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;37-Д;50.4808768;30.450959;Подвійного призначення;Підвал;Житловий будинок;ПП Тіщенко Спортивний клуб Солом'янський;Приватна;067-738-77-85;Відсутній
м.Київ;Шевченківський; вул. Теліги Олени;5;50.4672117;30.4459508;Найпростіші укриття;Підвал;Школа;Заклад загальної середньої освіти № 97;Комунальна;599-17-29;Відсутній
м.Київ;Шевченківський; вул. Терещенківська;13;50.441589;30.5145573;Подвійного призначення;Підвал;Житловий будинок;ФО Стасюк;Приватна;278-70-43;Відсутній
м.Київ;Шевченківський; вул. Туполєва Академіка;28;50.4826371;30.3962146;Подвійного призначення;Підвал;Житловий будинок;"ТОВ ""Скоробей-Ц""";Приватна;050-360-59-27;Відсутній
м.Київ;Шевченківський; вул. Тургенєвська;16;50.4497236;30.4942402;Подвійного призначення;Підвал;Житловий будинок;СПД «Пушішвілі»;Приватна;066-555-28-82;Відсутній
м.Київ;Шевченківський; вул. Тургенєвська;29;50.4509266;30.4919371;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-751-31-29;Відсутній
м.Київ;Шевченківський; вул. Тургенєвська;62;50.4539293;30.4904941;Подвійного призначення;Підвал;Житловий будинок;"ТОВ ""Евіма-мед""";Приватна;093-122-89-68;Відсутній
м.Київ;Шевченківський; вул. Тургенєвська;2;50.4482095;30.4957888;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;097-419-26-22;Відсутній
м.Київ;Шевченківський; вул. Турчина Ігоря;12;50.4818049;30.3989861;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-101-45-81;Відсутній
м.Київ;Шевченківський; вул. Усурійська;2;50.4633005;30.4161993;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-101-45-71;Відсутній
м.Київ;Шевченківський; вул. Франка Івана;16/2;50.4492254;30.5092838;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Стандарт»;Приватна;050-312-13-83;Відсутній
м.Київ;Шевченківський; вул. Франка Івана;20-Б;50.4488134;30.508558;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Крамар Авто»;Приватна;096-912-44-30;Відсутній
м.Київ;Шевченківський; вул. Франка Івана;22/24;50.4484263;30.508962;Подвійного призначення;Підвал;Житловий будинок;центр освіти «Веселка»;Приватна;246-46-80;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;16/18;50.4470235;30.5156276;Найпростіші укриття;Підвал;Школа;Заклад загальної середньої освіти № 53;Комунальна;234-83-23;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;23-Б;50.4456989;30.5114669;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;278-70-43;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;32;50.4467887;30.5106895;Подвійного призначення;Підвал;Житловий будинок;Яценко Н.А.;Приватна;067-943-52-47;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;33/34;50.4466941;30.5083138;Подвійного призначення;Підвал;Житловий будинок;ФО Головко О.М.;Приватна;067-466-84-30;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;33/34;50.4467326;30.5082749;Подвійного призначення;Підвал;Житловий будинок;ФО Петренко Я.О.;Приватна;063-948-81-75;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;47;50.4477888;30.5016952;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Віатон»;Приватна;067-401-51-09;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;59-Б;50.447699;30.4990913;Подвійного призначення;Підвал;Житловий будинок;ФО Щербенко;Приватна;095-103-60-00;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;61;50.4482634;30.4987537;Подвійного призначення;Підвал;Житловий будинок;ПП Браво;Приватна;098-028-22-22;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;66;50.4480848;30.5043078;Подвійного призначення;Підвал;Житловий будинок;Спорт клуб;Приватна;067-776-07-76;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;68;50.4479261;30.5037045;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;234-09-72;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;68-Б;50.4479447;30.5035752;Подвійного призначення;Підвал;Житловий будинок;ФО Лєбєдєва С.Б.;Приватна;234-62-39;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;9-Б;50.4449278;30.5165178;Подвійного призначення;Підвал;Житловий будинок;ТОВ Моноліт Плюс»;Приватна;067-987-92-53;Відсутній
м.Київ;Шевченківський; вул. Хмельницького Богдана;9-В;50.4447043;30.5164178;Подвійного призначення;Підвал;Житловий будинок;ПП Гладкий;Приватна;278-70-43;Відсутній
м.Київ;Шевченківський; вул. Хрещатик;2;50.4525758;30.5277573;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;Відсутній
м.Київ;Шевченківський; вул. Хрещатик;22;50.4500088;30.5239045;Подвійного призначення;Підземний перехід з пандусом;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;В наявності
м.Київ;Шевченківський; вул. Хрещатик;30;50.4473873;30.5219592;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;Відсутній
м.Київ;Шевченківський; вул. Хрещатик;38;50.444756;30.5210782;Подвійного призначення;Підземний перехід з пандусом;Підземний перехід;КП ШЕУ Шевченківського району;Комунальна;063-849-50-84;В наявності
